# Wavenumber/cm**-1  Wavelength/nm        FC               HT              FCHT
   0.10715000E+05   0.93327248E+03   0.30703878E-05   0.12485963E-04   0.15556351E-04
   0.10720000E+05   0.93283718E+03   0.30731018E-05   0.12492644E-04   0.15565746E-04
   0.10725000E+05   0.93240229E+03   0.30758178E-05   0.12499327E-04   0.15575145E-04
   0.10730000E+05   0.93196781E+03   0.30785358E-05   0.12506011E-04   0.15584547E-04
   0.10735000E+05   0.93153373E+03   0.30812558E-05   0.12512697E-04   0.15593952E-04
   0.10740000E+05   0.93110005E+03   0.30839778E-05   0.12519383E-04   0.15603361E-04
   0.10745000E+05   0.93066678E+03   0.30867018E-05   0.12526071E-04   0.15612773E-04
   0.10750000E+05   0.93023391E+03   0.30894278E-05   0.12532761E-04   0.15622188E-04
   0.10755000E+05   0.92980145E+03   0.30921558E-05   0.12539451E-04   0.15631607E-04
   0.10760000E+05   0.92936938E+03   0.30948858E-05   0.12546143E-04   0.15641029E-04
   0.10765000E+05   0.92893772E+03   0.30976179E-05   0.12552837E-04   0.15650455E-04
   0.10770000E+05   0.92850646E+03   0.31003519E-05   0.12559531E-04   0.15659883E-04
   0.10775000E+05   0.92807560E+03   0.31030880E-05   0.12566227E-04   0.15669315E-04
   0.10780000E+05   0.92764514E+03   0.31058261E-05   0.12572925E-04   0.15678751E-04
   0.10785000E+05   0.92721507E+03   0.31085662E-05   0.12579623E-04   0.15688189E-04
   0.10790000E+05   0.92678541E+03   0.31113084E-05   0.12586323E-04   0.15697632E-04
   0.10795000E+05   0.92635614E+03   0.31140526E-05   0.12593024E-04   0.15707077E-04
   0.10800000E+05   0.92592728E+03   0.31167988E-05   0.12599727E-04   0.15716526E-04
   0.10805000E+05   0.92549880E+03   0.31195470E-05   0.12606431E-04   0.15725978E-04
   0.10810000E+05   0.92507073E+03   0.31222973E-05   0.12613136E-04   0.15735434E-04
   0.10815000E+05   0.92464305E+03   0.31250496E-05   0.12619843E-04   0.15744892E-04
   0.10820000E+05   0.92421576E+03   0.31278039E-05   0.12626551E-04   0.15754355E-04
   0.10825000E+05   0.92378888E+03   0.31305603E-05   0.12633260E-04   0.15763820E-04
   0.10830000E+05   0.92336238E+03   0.31333187E-05   0.12639971E-04   0.15773289E-04
   0.10835000E+05   0.92293628E+03   0.31360791E-05   0.12646683E-04   0.15782762E-04
   0.10840000E+05   0.92251057E+03   0.31388416E-05   0.12653396E-04   0.15792237E-04
   0.10845000E+05   0.92208525E+03   0.31416061E-05   0.12660110E-04   0.15801717E-04
   0.10850000E+05   0.92166033E+03   0.31443727E-05   0.12666826E-04   0.15811199E-04
   0.10855000E+05   0.92123580E+03   0.31471413E-05   0.12673544E-04   0.15820685E-04
   0.10860000E+05   0.92081165E+03   0.31499120E-05   0.12680262E-04   0.15830174E-04
   0.10865000E+05   0.92038790E+03   0.31526847E-05   0.12686982E-04   0.15839667E-04
   0.10870000E+05   0.91996454E+03   0.31554595E-05   0.12693704E-04   0.15849163E-04
   0.10875000E+05   0.91954157E+03   0.31582363E-05   0.12700426E-04   0.15858663E-04
   0.10880000E+05   0.91911899E+03   0.31610152E-05   0.12707150E-04   0.15868165E-04
   0.10885000E+05   0.91869679E+03   0.31637962E-05   0.12713876E-04   0.15877672E-04
   0.10890000E+05   0.91827498E+03   0.31665792E-05   0.12720602E-04   0.15887181E-04
   0.10895000E+05   0.91785356E+03   0.31693643E-05   0.12727330E-04   0.15896695E-04
   0.10900000E+05   0.91743253E+03   0.31721514E-05   0.12734060E-04   0.15906211E-04
   0.10905000E+05   0.91701188E+03   0.31749406E-05   0.12740790E-04   0.15915731E-04
   0.10910000E+05   0.91659162E+03   0.31777319E-05   0.12747523E-04   0.15925254E-04
   0.10915000E+05   0.91617174E+03   0.31805252E-05   0.12754256E-04   0.15934781E-04
   0.10920000E+05   0.91575225E+03   0.31833206E-05   0.12760991E-04   0.15944312E-04
   0.10925000E+05   0.91533314E+03   0.31861181E-05   0.12767727E-04   0.15953845E-04
   0.10930000E+05   0.91491442E+03   0.31889177E-05   0.12774465E-04   0.15963382E-04
